id,reference
0, 34.05968475
1, 23.36550713
2, 69.76462555
3, 57.48743820
4, 46.68834686
5, 70.63283539
6, 47.43427277
7, 95.12183380
8, 21.62625122
9, 53.38389587
10, 35.28497696
11, 65.82703400
12, 48.77352905
13, 27.89875984
14, 31.09905815
15, 16.56899261
16, 31.68388748
17, 42.36748886
18, 20.36743546
19, 92.03729248
20, 50.92895126
21, 76.31607819
22, 54.78881073
23, 32.30925751
24, 58.95224762
25, 31.39826965
26, 36.53508377
27, 83.36575317
28, 41.31978607
29, 17.20137787
30, 79.39173889
31, 49.73942566
32, 93.69342041
33, 41.85729218
34, 47.15414047
35, 33.84340668
36, 33.21830368
37, 75.18493652
38, 69.81501770
39, 55.50942612
40, 19.19299316
41, 36.73804092
42, 84.98437500
43, 35.09173965
44, 49.50723267
45, 85.32083130
46, 57.78685379
47, 63.17311478
48, 38.62466049
49, 89.47226715
50, 88.01360321
51, 83.64427948
52, 47.43451691
53, 62.48484421
54, 37.21492767
55, 30.77822876
56, 49.86613464
57, 46.78178406
58, 47.47729492
59, 40.76576996
60, 40.24082184
61, 35.42109680
62, 76.31060028
63, 47.25479126
64, 36.33523560
65, 51.04380798
66, 43.25405121
67, 54.49615860
68, 59.75089264
69, 52.95018005
70, 73.28213501
71, 67.93568420
72, 57.40366364
73, 33.16103363
74, 37.66206741
75, 34.28931808
76, 51.95715714
77, 39.84776688
78, 40.57281494
79, 17.56431007
80, 55.54107666
81, 21.72608757
82, 57.89517593
83, 37.66680527
84, 22.21630096
85, 36.02826309
86, 62.03214264
87, 86.65553284
88, 61.20619965
89, 59.77299118
90, 30.11345291
91, 54.21999741
92, 77.90730286
93, 81.98522186
94, 51.98460388
95, 17.99676704
96, 38.98127747
97, 54.72657013
98, 51.70295715
99, 53.21371078
100, 34.97826385
101, 11.91832161
102, 24.33783531
103, 73.32375336
104, 88.78318024
105, 31.29875565
106, 29.49621391
107, 68.47663879
108, 27.14157486
109, 15.87984848
110, 34.26570129
111, 41.02585220
112, 67.13501740
113, 35.54216766
114, 26.00984192
115, 27.15043449
116, 11.23513508
117, 47.24254608
118, 87.57270813
119, 27.68525505
120, 62.20891953
121, 7.21986008
122, 23.57491493
123, 31.17331886
124, 89.53322601
125, 85.75238037
126, 9.28887177
127, 90.73853302
128, 54.66053391
129, 10.87261105
130, 12.74886703
131, 37.09799957
132, 52.24241257
133, 46.83438492
134, 90.45828247
135, 26.97895622
136, 87.49291992
137, 52.74549484
138, 88.77560425
139, 70.30577850
140, 26.87623978
141, 49.18004227
142, 43.42937088
143, 38.56538391
144, 22.77067757
145, 36.66862488
146, 36.55984497
147, 22.02526665
148, 13.75489044
149, 69.27306366
150, 85.30366516
151, 53.56267929
152, 49.42713928
153, 75.02470398
154, 78.72993469
155, 44.58674240
156, 37.95003510
157, 50.53020859
158, 14.73415470
159, 56.63720703
160, 41.16181183
161, 30.98435402
162, 13.91248512
163, 77.30540466
164, 45.92335892
165, 77.37350464
166, 10.04383087
167, 62.68997574
168, 29.46200371
169, 93.53300476
170, 51.81948853
171, 43.20236588
172, 49.55370331
173, 30.61881638
174, 23.89774513
175, 37.61679840
176, 68.93642426
177, 78.05368042
178, 51.79550552
179, 45.61492157
180, 24.97510529
181, 86.08108521
182, 65.07301331
183, 23.60755730
184, 85.99776459
185, 49.13481903
186, 37.32960892
187, 27.30838203
188, 22.97037315
189, 37.30378723
190, 14.58093071
191, 62.85659790
192, 24.90600777
193, 45.94590759
194, 33.94943237
195, 33.43093872
196, 82.50834656
197, 77.68918610
198, 65.67667389
199, 38.03288269
200, 56.81700897
201, 30.26062202
202, 33.17329407
203, 34.99832916
204, 40.52259445
205, 82.34311676
206, 45.98011017
207, 54.33106232
208, 14.31438351
209, 62.91083527
210, 62.37662125
211, 43.87022400
212, 32.58223724
213, 32.41753387
214, 71.60688019
215, 70.10623932
216, 34.20820999
217, 80.07807922
218, 26.88329124
219, 34.56268692
220, 55.61133575
221, 6.17182875
222, 16.50742912
223, 80.08426666
224, 42.10932922
225, 7.27875757
226, 33.65953445
227, 22.85427666
228, 48.30595398
229, 15.59617901
230, 36.36214066
231, 30.26318550
232, 36.10092163
233, 50.20912170
234, 51.30348206
235, 81.64746857
236, 41.68014145
237, 61.87186813
238, 31.17969131
239, 36.88192368
